It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"The species cover a vast area , occurring through Africa , the Indian Subcontinent , to China , down Southeast Asia to Brunei , Indonesia , the Philippines , New Guinea , Australia and islands of the Indian Ocean , and the South China Sea .","The various species cover a vast area , occurring through Africa , the Indian Subcontinent , to China , down Southeast Asia to Brunei , Indonesia , the Philippines , New Guinea , Australia and islands of the Indian Ocean , and the South China Sea ."
Marsupials appear to have travelled from South America through Antarctica to Australasia in the late Cretaceous or early Tertiary .,Marsupials appear to have traveled via Gondwanan land connections from South America through Antarctica to Australia in the late Cretaceous or early Tertiary .
"Although Darwin revisited some areas during the expedition , for clarity the chapters of the book are ordered by places and locations rather than by date .","Although Darwin revisited some areas during the expedition , for clarity the chapters of the book are ordered by reference to places and locations rather than by date ."
"Hummingbird-pollinated flowers also produce relatively weak nectar ( averaging 25 % sugars w/w ) containing high concentrations of sucrose , whereas insect-pollinated flowers typically produce more concentrated nectars dominated by fructose and glucose .","Hummingbird-pollinated flowers also produce relatively weak nectar ( averaging 25 % sugars w/w ) containing a high proportion of sucrose , whereas insect-pollinated flowers typically produce more concentrated nectars dominated by fructose and glucose ."
"Scientists think this prehistoric marsupial first appeared about 15 million years ago and died out about 12 million years ago , perhaps from the effects of climate change .","Researchers estimate that the prehistoric marsupial first appeared about 15 million years ago and died out about 12 million years ago , perhaps from climate change induced losses in habitat ."
"At the historic debate on evolution held at the Oxford on 30 June 1860 , Bishop Samuel Wilberforce , Benjamin Brodie and Robert FitzRoy spoke against Darwin 's theory , and Hooker and Thomas Henry Huxley defended it .","At the historic debate on evolution held at the Oxford University Museum on 30 June 1860 , Bishop Samuel Wilberforce , Benjamin Brodie and Robert FitzRoy spoke against Darwin 's theory , and Hooker and Thomas Henry Huxley defended it ."
"In RNA , which is used in the cytoplasm for protein synthesis , adenine sticks to uracil .","In RNA , which is used for protein synthesis , adenine binds to uracil ."
"In Rome , he was introduced to Max Delbrück 's theories on the gene as a molecule and began to formulate methods for testing genetic theory with bacteriophages , which are viruses that infect bacteria .","Here , he was introduced to Max Delbrück 's theories on the gene as a molecule and began to formulate methods for testing genetic theory with the bacteriophages , viruses that infect bacteria ."
"He discovered two natural satellites of planets in the solar system , namely Uranus 's satellite Miranda and Neptune 's satellite Nereid .","Kuiper discovered two natural satellites of planets in the Solar System , namely Uranus 's satellite Miranda and Neptune 's satellite Nereid ."
"During the Campanian stage ( 83.672 mya ) , an enormous diversity of dinosaurs is known .","During the Campanian stage of the Late Cretaceous , an enormous diversity of dinosaurs is known ."
The evolutionary status of the Wolf-Rayet stars suggests they all formed in a relatively short period .,The evolutionary status of the Wolf-Rayet stars suggests that they all formed in a relatively short timespan .
"Sea level changes and the isostatic rise of land makes charting coastlines a complex task , but the island is clearly ringed by post glacial raised beaches .","Sea level changes and the isostatic rise of land makes charting post-glacial coastlines a complex task , but it is evident that the island is ringed by post glacial raised beaches ."
"The stand is made up of two tiers , only the upper tier is covered but at the expense of several supporting columns for the roof structure , the seats are the originals from the early 1900s , from here you get a decent view with moderate legroom .","The stand is made up of two tiers , with only the upper tier covered , but at the expense of several supporting columns for the roof structure ."
Neodymium is a chemical element that has the symbol Nd on the periodic table .,Neodymium is a chemical element with symbol Nd and atomic number 60 .
They live in tropical and subtropical waters of the Indo-Pacific .,Their distribution is limited to tropical and subtropical waters of the Indo-Pacific .
"In 1970 , tests performed on the relics suggested that the young man had been knifed in the back whilst riding his horse and had then been dragged along the ground by the terrified animal with his foot caught in a stirrup .","In 1970 , examinations performed on the relics suggested that the young man had died in the same manner as Edward ."
She then got a Doctor of Philosophy from Yale University in 1924 .,She then obtained a Ph.D. from Yale University in 1924 .
"For example , the Venus Flytrap closes its trap in about 100 milliseconds .","For example , the Venus flytrap closes its trap in about 100 milliseconds ."
"Friedrich Leopold August Weismann ( Frankfurt am Main , 17 January , 1834 – Freiburg , 5 November , 1914 ) was a German evolutionary biologist .",Friedrich Leopold August Weismann ( 17 January 1834 – 5 November 1914 ) was a German evolutionary biologist .
"The most potent toxin present in these mushrooms is amanitin , of which at least eight versions are known .",The most potent toxin present in these mushrooms is α-amanitin .
"Daphnia are small , planktonic crustaceans , between 0.2 and 5 mm in length .","Daphnia , a genus of small planktonic crustaceans , are in length ."
"In several years from 2009 , worldwide demand for rare earth elements is expected to be more than the supply by 40,000 tonnes each year unless new sources are developed .","In several years from 2009 worldwide demand for rare earth elements is expected to exceed supply by 40,000 tonnes annually unless major new sources are developed ."
"After his graduation , he worked again for the museum for one month for free .","After his graduation , he did voluntary work at the museum for a month ."
