The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
"He was drafted 51st overall by Vancouver and played in 260 regular season games , scoring 23 goals and 36 assists for 59 points , picking up 159 penalty minutes .","In 260 regular-season games , he scored 23 goals and 36 assists for 59 points , picking up 159 penalty minutes ."
"The Scottish Saltires play their home matches at The Grange , Edinburgh .","They play their home matches at The Grange , Edinburgh ."
They played at Switzerland 's Greenfield Festival as well as Germany 's Hurricane Festival and Southside Festival .,They also played at Switzerland 's Greenfield Festival as well as Germany 's Hurricane Festival and Southside Festival .
Other objectives are to play as long as possible ( by earning `` extra balls '' and keeping the ball in play as long as possible ) and to earn free games ( known as `` replays '' ) .,Secondary objectives are to maximize the time spent playing ( by earning `` extra balls '' and keeping the ball in play as long as possible ) and to earn bonus games ( known as `` replays '' ) .
This is a list of Test cricketers who have played for India .,This is a list of Indian Test cricketers .
"Benedicto de Moraes Menezes ( born 30 October , 1906 ) is a former Brazilian football player .","Benedicto de Moraes Menezes ( born 30 October 1906 , date of death unknown ) was a Brazilian football player ."
"Gripen Trollhättan BK is a bandy club in Trollhättan , Sweden .","Gripen Trollhättan BK is a bandy club in Trollhättan , Sweden , formed in 1936 ."
The 2010 Stanley Cup Final was the best-of-seven NHL championship series of the 2010 Stanley Cup playoffs .,The Flyers were the last team to qualify for the 2010 Stanley Cup playoffs .
Lund is often said to have been the first Finnish player in the National Hockey League .,Lund was often credited as being the first Finnish player in the National Hockey League .
It is most often used in arenas for sports that are normally played on grass .,It is most often used in arenas for sports that were originally or are normally played on grass .
"Noelia Garcia Martin ( born April 20 , 1973 in Plasencia , Cáceres ) is a swimmer from Spain .","Noelia Garcia Martin ( born 20 April 1973 in Plasencia , Cáceres ) is an S6 swimmer from Spain ."
"Carlo Airoldi ( 21 September 1869–18 June 1929 ) was an Italian marathon runner , famous for walking to the 1896 Summer Olympics in Athens , Greece .","Carlo Airoldi ( 21 September 1869 in Origgio – 18 June 1929 in Milan ) was an Italian marathon runner , famous for walking to the 1896 Olympics ."
A toe kick is a move where the wrestler hits the opponent in either the midsection or stomach with the point of their foot in order to bend the opponent over .,The wrestler strikes the opponent in the midsection or stomach with the point of his foot in order to bend the opponent over .
"On December 2 , 2009 , the Canadiens traded Chipchura to the Anaheim Ducks for a fourth-round pick in the 2011 NHL Entry Draft .","On December 2 , 2009 , he was traded to the Anaheim Ducks for a fourth-round pick in 2011 ."
"Near the end of the ratings war , WCW began a financial decline , which ended in March 2001 with the WWF 's purchase of WCW .","Near the end of the ratings war , WCW began a financial decline , which culminated in March 2001 with the WWF 's purchase of WCW ."
"Traditionally , tennis is played between two people in a Singles match , or four players in a Doubles match .","Traditionally , tennis is played between two people in a singles match , or two pairs in a doubles match ."
Big Rigs : Over the Road Racing is a truck racing video game released in 2003 .,`` Big Rigs : Over the Road Racing '' was critically panned .
"At the end of the game , 1-0 means `` White won '' , 0-1 means `` Black won '' and ½-½ is a draw .","At the end of the game , `` 1–0 '' means `` White won '' , `` 0–1 '' means `` Black won '' , and `` ½–½ '' indicates a draw ."
He has played for Czechoslovakia national team and Czech Republic national team .,He also has one cap for the old Czechoslovakia national team .
Christian Dannemann Eriksen ( born 14 February 1992 ) is a Danish footballer who plays for English club Tottenham Hotspur and the Denmark national team as an attacking midfielder .,Christian Dannemann Eriksen ( born 14 February 1992 ) is a Danish professional footballer who plays as an attacking midfielder for English club Tottenham Hotspur and the Denmark national team .
"On January 17 , 2007 , Harrington was traded to the Golden State Warriors along with teammates Stephen Jackson , Šarūnas Jasikevičius , and Josh Powell for Troy Murphy , Mike Dunleavy , Ike Diogu , and Keith McLeod .","On July 15 , 2004 , Harrington was traded to the Atlanta Hawks in exchange for Stephen Jackson ."
The team is owned by Roger Penske .,The team is known as DJR Team Penske .
The National Olympic Committee for Mexico is the `` Comité Olímpico Mexicano '' and was formed in 1923 .,The National Olympic Committee for Mexico is the `` Comité Olímpico Mexicano '' and was created in 1923 .
Bindings used for skis have a greatest point high level of .,Bindings used for skis have a maximum height of .
"A year later , he became one of the first 22 players inducted into the English Football Hall of Fame .","A year later , he became one of 22 players inducted into the inaugural English Football Hall of Fame ."
That organization has been holding world three-cushion championships since the late 1920s .,It had been staging world three-cushion championships since the late 1920s .
"Francisca Bazalo Gallego ( born May 5 , 1962 in Málaga ) is a wheelchair fencing athlete from Spain .","Francisca Bazalo Gallego ( born May 5 , 1962 in Málaga ) is a Spanish wheelchair fencer ."
"For a person to be added to the Hockey Hall of Fame as a builder , they may be `` active or inactive '' and must be nominated by an elected 18-person selection committee .","For an official to be inducted to the Hockey Hall of Fame , they must be retired for a minimum of three years and must be nominated by an elected 18-person selection committee ."
Indonesia has never been in the Winter Olympic Games .,Indonesia has never participated in the Winter Olympic Games .
"On 19 October 2002 , de Jong played for the Ajax first team for the first time .","On 19 October 2002 , De Jong made his debut for the Ajax first team ."
"In 2008 , Mesut Özil moved to Werder Bremen for a reported amount of €4.3 million , signing a contract with the German club until June 30 , 2011 .","On 31 January 2008 , Özil moved to Werder Bremen for a reported fee of , signing a contract with the German club until 30 June 2011 ."
"Also , exercise physiologists range from basic scientists , to clinical researchers , to clinicians , to sports trainers .","Furthermore , exercise physiologists range from basic scientists , to clinical researchers , to clinicians , to sports trainers ."
"The Central Division is one of three divisions in the Eastern Conference of the National Basketball Association , along with the Southeast Division and the Atlantic Division .",The Central Division is one of the three divisions in the Eastern Conference of the National Basketball Association ( NBA ) .
The Chinese Olympic Committee was formed in 1910 and recognized in 1979 .,The Chinese Olympic Committee in its current form was recognized in 1979 .
Punk and Kofi were also members of Team Batista at Survivor Series where they lost to Team Orton .,"The duo were members of Team Batista at Survivor Series , where their team lost to Team Orton ."
The club plays in the Frauen-Bundesliga and is one of the most successful teams in Germany .,They are one of the most successful teams in Germany .
"The following season , Ross teamed Clapper up with Cooney Weiland and Dutch Gainor to form the Dynamite Line , one of the first named forward lines in history .","The following season , Ross teamed Clapper up with Cooney Weiland and Dutch Gainor to form the renowned Dynamite Line , one of the first named forward lines in history ."
"Eton Fives is played competitively as a doubles game , whilst Rugby Fives is played as both a singles and a doubles game .","Eton Fives , invented by Eton boys in 1877 , is played competitively as a doubles game ."
